REQUIRED VARIABLES,DEV STAGE REQUIRED VALUES,PRODUCTION REQUIRED VALUES,DISASTER RECOVERY REQUIRED VALUES,DESCRIPTION
vDevStageControlRoomURL,https://sbarpacrtst.fsba.loc/;https://sbarpabrtst1.fsba.loc/,https://sbarpacrtst.fsba.loc/,TBD,Contains Dev/Stage Control Room URL
vProdControlRoomURL,https://sbarpaprd.fsba.loc,https://sbarpaprd.fsba.loc,TBD,Contains Prod Control Room URL
vRecoveryControlRoomURL,TBD,TBD,TBD,Contains Prod Control Room URL
vPrimaryAssetDataPullFileName,PrimaryAssetDataPullFileName,PrimaryAssetDataPullFileName,PrimaryAssetDataPullFileName,File name of input file containing primary asset ids retrieved from Oracle database
vPrimaryAssetDataPullFilePathSessionName,PrimaryAssetDataPullFileSession,PrimaryAssetDataPullFileSession,PrimaryAssetDataPullFileSession,Excel Session for PrimaryAssetDataPullFileName
vSecxTemplateFileName,SecXRefTemplate,SecXRefTemplate,SecXRefTemplate,File name of output template file where the primary asset ids are populated and loaded into Generic Batch Trade site 
vSecxTemplateSessionName,SecXRefTemplateSession,SecXRefTemplateSession,SecXRefTemplateSession,Excel Session for SecxRefTemplate
vSecxTemplateTabName,XREF,XREF,XREF,Tab name of SecxRefTemplate where primary asset ids are populated 
vSiteGenericBatchTrade,https://tstapps.sbafla.com/genericbatchtrade,https://interchange.sbafla.com/genericbatchtrade,TBD,"URL of Generic Batch Trade, where SecxRefTemplate is verified and submitted "
vGenericBatchTradeWindowTitle,Generic Batch Trade,Generic Batch Trade,Generic Batch Trade,Window Title of Generic Batch Trade site 
vFileUploadWindowTitle,Open,Open,Open,Window Title of File explore window when Browse button is  clicked in Generic Batch Trade 
vGenericBatchTradeSuccessMessage,No errors. Ready for submission.,No errors. Ready for submission.,No errors. Ready for submission.,Success message when verify is clicked after attaching SecxRefTemplate in Generic Batch Trade 
vSecurityIDType,SBA_PAID,SBA_PAID,SBA_PAID,SecurityIDType value to be populated in SecxRefTemplate
vSecurityXRefType,BNYM_ID,BNYM_ID,BNYM_ID,SecurityXRefType value to be populated in SecxRefTemplate
vUserStarID,Bot,Bot,Bot,UserStarID value to be populated in SecxRefTemplate 
vOracleConnectionString,Provider=OraOLEDB.Oracle.1;Persist Security Info=False;User ID=[FSBA];Data Source=PMSTST/PMSTST,Provider=OraOLEDB.Oracle;.1Persist Security Info=False;User ID=[FSBA];Data Source=PMSPROD/PMSPROD,TBD,Oracle database string to retrieve primary asset id data 
